	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000143013	-1.95614868867179	6.39640192636764	-7.70733915669539	2.43411353563178e-07	4.3993683413633e-05	7.17956845054175
ENSG00000205978	1.50450960800216	3.69692873811624	7.70461475732406	2.44697289594331e-07	4.3993683413633e-05	7.17444326545834
ENSG00000197852	-1.67469924161418	4.27777908509361	-7.70285578510687	2.45531273633763e-07	4.3993683413633e-05	7.17113368303737
ENSG00000007264	-1.46118961549329	5.01660047906025	-7.69903595998027	2.47352527803121e-07	4.40593052612137e-05	7.16394496321865
ENSG00000125648	-1.60973338048241	8.27204230932906	-7.69035425282168	2.51544110859063e-07	4.45439018767444e-05	7.14759851280156
ENSG00000100379	-1.36944975881758	5.43641273792063	-7.67225160516552	2.60522521175351e-07	4.54793379902037e-05	7.11347839059234
ENSG00000105376	-4.26050425748884	4.10800171717946	-7.67081946161426	2.61246846817339e-07	4.54793379902037e-05	7.1107770268505
ENSG00000267057	-8.56344756005139	-7.85826806083516	-7.67065068056829	2.61332347356278e-07	4.54793379902037e-05	7.1104586459096
ENSG00000102981	-1.06643829587266	3.86016084496505	-7.65603535998422	2.6884714696299e-07	4.65197740410646e-05	7.08287321140741
ENSG00000133424	-1.81700322609323	4.87842192818865	-7.64601793350181	2.74126815679198e-07	4.71638301453511e-05	7.06394800109088
ENSG00000251322	-1.60406737382933	6.99217859117083	-7.64111867274054	2.7674795014516e-07	4.73457891431955e-05	7.05468684800492
ENSG00000151812	2.35007143059052	-0.0881103149864156	7.62420027338251	2.86000707891561e-07	4.86538619981143e-05	7.02267880447821
ENSG00000087116	1.97672767740456	2.16884081142572	7.62031576027456	2.88170030952155e-07	4.87490318841464e-05	7.01532377317479
ENSG00000179774	-2.44827897807829	-0.104641044374281	-7.60285941594963	2.98130982101562e-07	5.00158255953098e-05	6.98224434221201
ENSG00000131015	-2.40751398073611	-1.01217987010428	-7.60143068661508	2.98961871561411e-07	5.00158255953098e-05	6.97953496054269
ENSG00000143367	1.23974242154894	2.48687675234215	7.59141838751652	3.04852294159451e-07	5.01772491002143e-05	6.96053970827538
ENSG00000100319	-1.557212064793	3.99251969864987	-7.59061968153426	3.05327333535366e-07	5.01772491002143e-05	6.9590237801318
ENSG00000126583	-2.91240890921046	5.98133382699248	-7.58834908194334	3.06681989175031e-07	5.01772491002143e-05	6.95471371885617
ENSG00000196218	1.89103615160643	5.63966197362656	7.58824775836839	3.06742584374597e-07	5.01772491002143e-05	6.95452136851343
ENSG00000145632	-2.17391312653458	5.05254497712142	-7.58579697413819	3.08212025119377e-07	5.01772491002143e-05	6.94986840003852
ENSG00000178403	-5.19636846902819	-1.17037937562982	-7.54152166059521	3.36051352128655e-07	5.44169571861379e-05	6.86565806814694
ENSG00000182022	-1.19949087233458	4.17073395350506	-7.5299375614326	3.43756285238357e-07	5.53685323048016e-05	6.84357827346823
ENSG00000187889	-3.26045922494591	-2.16608132614976	-7.5256180694114	3.46675915318054e-07	5.55433512790793e-05	6.83534012607377
ENSG00000130368	-8.4161658965502	-0.270900666326554	-7.50883581737996	3.58265174827238e-07	5.70980408365452e-05	6.80330714935801
ENSG00000147465	1.75078706483245	2.23619920204972	7.5036106004184	3.61954830588445e-07	5.73840535342865e-05	6.79332517903497
ENSG00000152578	0.899364969926414	5.38521489612923	7.49866404089046	3.65483964619754e-07	5.76417704825561e-05	6.7838718729035
ENSG00000261159	1.48359690839622	0.681515377590222	7.49495229402201	3.68155494835012e-07	5.77622618606166e-05	6.77677605869229
ENSG00000094963	2.49996746495574	1.24409015072773	7.48955416221833	3.72076923506621e-07	5.80766047458968e-05	6.76645276709527
ENSG00000261812	2.9172542109905	-2.09613925331295	7.46593513825748	3.89749891711409e-07	6.05231613892984e-05	6.72123421217409
ENSG00000196628	-1.05081082815161	6.31684988417016	-7.45291889689844	3.99858427733491e-07	6.17760869908054e-05	6.69627990393984
ENSG00000135439	-2.02942768508322	7.83347276499036	-7.44073618587651	4.09565510572186e-07	6.29545849017074e-05	6.67290124430624
ENSG00000160145	-1.59644458539018	5.75218462413387	-7.4278718589238	4.20080739133635e-07	6.42447720288162e-05	6.64819108777342
ENSG00000064218	-10.1937715348341	-5.15196809565882	-7.41881117612384	4.27654248803614e-07	6.50743633568956e-05	6.63077260623551
ENSG00000261409	4.07861660569368	1.80935548787262	7.40530528634356	4.39206580683177e-07	6.64236943607229e-05	6.60478635132311
ENSG00000007129	2.38123254362962	0.351632262473068	7.40334621161186	4.40908905468951e-07	6.64236943607229e-05	6.60101475139941
ENSG00000171303	2.39667098885562	3.08418826458178	7.38421725839682	4.57894044001726e-07	6.86410373584964e-05	6.56415842544317
ENSG00000230269	2.00842302528855	0.816467209719151	7.38068806668566	4.61100960271591e-07	6.87812718127293e-05	6.55735280495956
ENSG00000183287	-3.75612875752675	0.598779772756668	-7.37770882201813	4.63826232461159e-07	6.88486379664527e-05	6.55160627963365
ENSG00000163466	-0.702474432658059	6.50901813503655	-7.37038170806791	4.70599845632908e-07	6.95133362224882e-05	6.53746785694088
ENSG00000170439	-3.62458470385598	1.3693666963733	-7.36169079898957	4.78767096605458e-07	7.03734575007022e-05	6.52068771984468
ENSG00000169085	-1.83258777774489	6.82402705820638	-7.35569001587205	4.84491768462252e-07	7.03734575007022e-05	6.50909517934419
ENSG00000251196	-3.30304968319979	-0.967481979363402	-7.35450270981608	4.85632809112266e-07	7.03734575007022e-05	6.5068008755196
ENSG00000183762	-1.24778871114615	4.15234681442218	-7.35066199856286	4.89342937051634e-07	7.03734575007022e-05	6.49937783026856
ENSG00000128512	-1.18278100672294	5.73901382259104	-7.34991343646573	4.90069455665169e-07	7.03734575007022e-05	6.4979308143867
ENSG00000153266	-4.20594654840911	2.96110838245077	-7.34960731765647	4.90366881300094e-07	7.03734575007022e-05	6.49733904469696
ENSG00000257935	10.3960660039217	-3.96309747305244	7.3407204128743	4.99083301818156e-07	7.10347406792331e-05	6.48015349474824
ENSG00000113140	1.55298109190464	9.69031789980109	7.33860396515801	5.01182676845008e-07	7.10347406792331e-05	6.4760590015446
ENSG00000224944	-9.43825601101815	-6.53264778981594	-7.3369930241028	5.02786743759869e-07	7.10347406792331e-05	6.47294202802866
ENSG00000268173	-1.5312641339449	6.00331677786149	-7.33478998124867	5.0498898673031e-07	7.10347406792331e-05	6.46867879902108
ENSG00000163827	-2.51384762955593	1.31189899257455	-7.33308121117069	5.0670400537348e-07	7.10347406792331e-05	6.46537157824789
